OrgNr,name,address,city,incorporation_date,email,homepage,segment,segment_name,revenue,profit,employees,SDI,DR,ORS,Revenue_growth,EBIT_margin,NetProfit_margin,analysis_year,seg_revenue,seg_ebit,year_rank,avg_growth,growth_range,growth_stage,digital_maturity,industry_cluster,fit_score_reason,company_size_category,employee_size_category,profitability_category,growth_category,digital_maturity_score,overall_potential_score
5565434056,"zeb.consulting AB","Biblioteksgatan 11",Stockholm,18.06.1997,,https://www.zeb.se,10000911,"Affärssystem",66284,4618,20,66284.0,4618.0,5913.0,-0.302655388629382,0.0696699052561704,0.0892070484581498,,,,,,,,,,,Micro,Medium,"Good Profitability","Rapid Decline",50,-569.797998433028
5564720208,"Nordlo Syd AB","Helsingborgsvägen 60","Ängelholm",29.09.1993,,https://ixx.se,10000911,"Affärssystem",96921,4779,48,96921.0,4779.0,6126.0,0.0832429895052138,0.049308199461417,0.0632061163215402,,,,,,,,,,,Micro,Medium,"Low Profitability","Low Growth",50,344.120274916577
5564815776,"CAG Syntell AB","Sandhamnsgatan 63 c",Stockholm,21.01.1994,info@syntell.se,https://www.syntell.se,10000911,"Affärssystem",136568,1450,67,136568.0,1450.0,2248.0,0.142799762349062,0.0106174213578584,0.016460664284459,,,,,,,,,,,Small,Large,"Low Profitability","Medium Growth",50,396.384379267302
5561220798,"Aktiebolaget Systemstöd Sverige","Torshamnsgatan 28 a",Kista,30.12.1968,info@systemstod.se,https://www.systemstod.se,10000911,"Affärssystem",64693,3910,39,64693.0,3910.0,4957.0,0.0966774029496524,0.0604393056435781,0.0766234368478815,2023,64693.0,4913.0,1,0.0569279754667599,0.0556868460022637,Growth,High,Other,,Micro,Medium,"Good Profitability","Low Growth",50,405.453503983076
5566879127,"AM Hultdin System AB","Vasagatan 6","Umeå",17.10.2005,info@amsystem.com,https://amsystem.com,10000911,"Affärssystem",20525,505,11,20525.0,505.0,679.0,-0.0405740195391016,0.0246041412911084,0.0330816077953715,,,,,,,,,,,Micro,Medium,"Low Profitability",Declining,50,-27.3733831199829
5563403145,"Skellefteå Rostfria Aktiebolag","Hedgatan 49","Skellefteå",08.12.1988,info@rostfria.se,https://www.rostfria.se,10000937,"Aluminium, produkter",52129,5014,40,52129.0,5014.0,6405.0,-0.156597851410821,0.0961844654606841,0.122868269101652,,,,,,,,,,"Score: 4

Justification: Skellefteå Rostfria Aktiebolag appears to be a family or founder-owned business, as there is no indication of it being part of a large group. It is a stable and established company with 70 years of experience, suggesting a strong foundation and potential for scaling or digitization. The company operates in the manufacturing sector, which is not typically excluded, and their openness to contact suggests a potential openness to new partnerships or ownership. However, there is no explicit mention of seeking new owners or partners, which slightly lowers the score.",Micro,Medium,"Good Profitability","Rapid Decline",100,-125.903142375341
5561137851,"Octanorm Nordic Aktiebolag","Kälvestavägen 96","Spånga",12.12.1967,,https://www.octanorm.com,10000937,"Aluminium, produkter",27951,1090,8,27951.0,1090.0,1090.0,-0.231629876020562,0.03899681585632,0.03899681585632,,,,,,,,,,,Micro,Small,"Low Profitability","Rapid Decline",50,-469.012772910606
5569232357,"MAPAB AB","Falköpingsvägen 56","Mullsjö",20.02.2013,info@mapab.se,https://www.mapab.se,10000937,"Aluminium, produkter",36417,3419,9,36417.0,3419.0,4393.0,0.0971950227471303,0.0938847241672845,0.120630474778263,,,,,,,,,,,Micro,Small,"Good Profitability","Low Growth",50,490.290409786037
5564336401,"Leijma-produkter försäljnings Aktiebolag","Bilgatan 3","Kungälv",24.09.1991,,https://www.leijma.se/svensk_kontakt.html,10000937,"Aluminium, produkter",32297,2092,8,32297.0,2092.0,2659.0,0.0951848084096303,0.064773818001672,0.0823296281388364,2023,32297.0,2810.0,1,0.120651133604975,0.431446079216927,"Early Growth",High,Other,,Micro,Small,"Good Profitability","Low Growth",50,412.477308528256
5562970029,"Lectus Produktion AB","Verkstadsgatan 2","Mönsterås",21.04.1987,,https://lectusproduktion.se,10000937,"Aluminium, produkter",28350,2581,14,28350.0,2581.0,3346.0,-0.0320267686424475,0.0910405643738977,0.118024691358025,,,,,,,,,,,Micro,Medium,"Good Profitability",Declining,50,160.105364328626
