OrgNr,name,industry_name,company_size_category,profitability_category,growth_category
5592748551,1048 SVERIGE AB,,Micro,High Profitability,Declining
5567910491,157 Logistics AB,,Micro,High Profitability,High Growth
5590831094,1631 Recordings AB,,Micro,High Profitability,Low Growth
5564909512,2 Remmare AB,,Micro,Good Profitability,Declining
5592424641,21 Solutions AB,,Micro,Good Profitability,Declining
5593845877,247 Entreprenad AB,,Micro,Good Profitability,High Growth
5590580238,24Seven Vending Sweden AB,,Micro,Low Profitability,Low Growth
5568695885,2nd Planet Solutions AB,,Micro,Good Profitability,Rapid Decline
5562206622,2printit AB,,Micro,Good Profitability,Declining
5590061957,365id AB,,Micro,Good Profitability,Low Growth
5568990427,3A Tandvård AB,,Micro,Good Profitability,Medium Growth
5591986236,3L Schakt AB,,Micro,Low Profitability,Rapid Decline
5563745222,3VA-SÄKRARE Aktiebolag,,Micro,High Profitability,High Growth
5565713343,4fun i Falkenberg AB,,Micro,Good Profitability,Rapid Decline
5567134936,66 Kvadrat AB,,Micro,Good Profitability,Rapid Decline
5568057300,A & K Entreprenad AB,,Micro,Good Profitability,Rapid Decline
5566842141,A & O Marmor & Granit AB,,Micro,Good Profitability,Rapid Decline
5566076120,A Catering Sweden AB,,Micro,Low Profitability,High Growth
5590399894,A&J Tak och Plåt AB,,Micro,Low Profitability,Low Growth
5590890819,A&L All about meetings AB,,Micro,Good Profitability,Rapid Decline
5591418529,A&O Agribusiness AB,,Micro,Good Profitability,Medium Growth
5568762776,A-Antennas AB,,Micro,Good Profitability,High Growth
5561010058,A-Extrusion AB,,Small,Good Profitability,Medium Growth
5593358129,A-L Väg & Vakt AB,,Small,Low Profitability,Rapid Decline
5592801327,A-Liner AB,,Micro,Good Profitability,High Growth
5564100864,A-Plast Aktiebolag,,Micro,Good Profitability,Low Growth
5593659500,A38 Evenemang & Matateljé AB,,Micro,Good Profitability,High Growth
5591275549,AA skolmat AB,,Micro,Good Profitability,High Growth
5567029326,AAA Certification AB,,Micro,High Profitability,Low Growth
5566770599,AAC Clyde Space AB,,Small,Good Profitability,High Growth
5560736729,AB Fingal Jonsson & Söner AB,,Micro,High Profitability,Medium Growth
5564121621,AB Golvinteriör,,Micro,Good Profitability,High Growth
5566182357,AB Helsingborgs Auktionskammare Eftr.,,Micro,Good Profitability,Low Growth
5564929478,AB Hestra Markisfabrik,,Micro,Good Profitability,Rapid Decline
5567724785,AB Hässleholms Golfklubb,,Micro,Low Profitability,High Growth
5565572590,AB Jönköpings Tandbolag,,Micro,Good Profitability,Low Growth
5561076794,AB Kronqvists Åkeri,,Micro,Low Profitability,Rapid Decline
5561610329,AB Lindborg & Söner,,Small,Low Profitability,High Growth
5566358601,AB Näsum Betonghåltagning,,Micro,Good Profitability,Declining
5567025696,AB Parts & Paomees,,Small,Good Profitability,Low Growth
5591784375,AB Pasi Bygg & Förvaltning,,Micro,Low Profitability,High Growth
5566740477,AB PaySystems Group Eu,,Micro,High Profitability,Declining
5562589589,AB Provia Vägmärkning,,Micro,Low Profitability,Medium Growth
5566582747,AB Sjuntorp Maskinteknik,,Micro,Good Profitability,Declining
5564499456,AB Stockholmstolkarna STAB,,Micro,Good Profitability,Low Growth
5568520802,AB Strömstanet,,Micro,Good Profitability,Low Growth
5564687597,AB Sundplast,,Micro,Good Profitability,Medium Growth
5565885133,AB Swed-Weld Fides,,Micro,Good Profitability,High Growth
5560497314,AB Syna,,Micro,Good Profitability,Low Growth
5565249322,AB Uppsala Nya Auktionskammare,,Micro,Good Profitability,Medium Growth
5590517230,AB Ventilation energi i kronoberg,,Micro,Good Profitability,High Growth
5562941244,AB Y Revision,,Micro,High Profitability,Medium Growth
5563038115,ABL Construction Equipment AB,,Micro,Low Profitability,Rapid Decline
5567044028,ABL i Boden AB,,Micro,Low Profitability,High Growth
5591957344,ABSOL RAIL AB,,Micro,Good Profitability,High Growth
5561469064,ABT- Balken Aktiebolag,,Micro,Good Profitability,Declining
5566953971,ACAD-International Aktiebolag,,Micro,Good Profitability,Declining
5561190124,ACG Pulse AB,,Micro,Low Profitability,High Growth
5561090498,ACG accent Aktiebolag,,Small,Low Profitability,Declining
5566466065,ACRE AB,,Micro,Low Profitability,Medium Growth
5592023963,ADdictive Group Media AB,,Micro,Good Profitability,Rapid Decline
5565714341,AFFIRMO Försäkringskonsult Aktiebolag,,Micro,High Profitability,Low Growth
5568447253,AFG Västerås AB,,Micro,Low Profitability,Rapid Decline
5590377874,AFV Media AB,,Micro,Good Profitability,Low Growth
5562033943,AGC Glass Svenska AB,,Micro,Good Profitability,Declining
5564171501,AGERA INDUSTRITILLBEHÖR Aktiebolag,,Micro,Good Profitability,High Growth
5561257147,AGES Falkenberg AB,,Small,Low Profitability,Low Growth
5568152481,AGKS Elpartner AB,,Micro,Good Profitability,Low Growth
5568393150,AHLVAR BY FRIDA AHLVARSSON AB,,Micro,Good Profitability,High Growth
5564283223,AIRSAFE SWEDEN Aktiebolag,,Micro,Low Profitability,Rapid Decline
5567464101,ALRON Chemical Co Aktiebolag,,Micro,Good Profitability,High Growth
5566879127,AM Hultdin System AB,,Micro,Low Profitability,Declining
5566966718,AM Svinproduktion AB,,Micro,Low Profitability,Medium Growth
5590525662,AMINDA AB,,Micro,Low Profitability,Medium Growth
5564560372,ANDERS TRAKTORSERVICE I RÄTTVIK Aktiebolag,,Micro,Low Profitability,Medium Growth
5594083056,AO Research AB,,Micro,Good Profitability,Rapid Decline
5593011363,APOFARM AB,,Micro,Low Profitability,High Growth
5567208466,AQ Enclosure Sollefteå AB,,Small,Good Profitability,Low Growth
5566667829,AQ Mekatronik AB,,Micro,Low Profitability,Low Growth
5592609886,ARAKII AB,,Micro,Good Profitability,High Growth
5565902797,AREFF Systems AB,,Micro,High Profitability,Declining
5565318820,AROS Polymerteknik AB,,Micro,Good Profitability,Low Growth
5566000377,AS3 Svenska Aktiebolag,,Micro,High Profitability,Low Growth
5565535803,ASPA Plast AB,,Micro,Low Profitability,Rapid Decline
5564471539,ASPIRA MEDICAL Aktiebolag,,Micro,Good Profitability,High Growth
5591879654,ASTRIO ENTREPRENAD AB,,Micro,Low Profitability,High Growth
5569022428,ATRON Systems Sweden AB,,Micro,Good Profitability,Low Growth
5565965786,AVT Industriteknik AB,,Micro,Good Profitability,Low Growth
5562249507,AWI Maskin AB,,Micro,Good Profitability,Declining
5560853995,Abector Aktiebolag,,Micro,Good Profitability,Declining
5565669180,Abesiktning AB,,Micro,Good Profitability,Declining
5566564505,Abicon i Hörby AB,,Micro,Low Profitability,High Growth
5561969006,Abramssons Buss Aktiebolag,,Micro,Low Profitability,Low Growth
5568966518,Accell Sweden AB,,Small,Low Profitability,Low Growth
5592051311,Accepta Vi AB,,Micro,Low Profitability,Declining
5592406812,Access Revision AB,,Micro,High Profitability,Low Growth
5567505408,Access to AB,,Micro,Low Profitability,Rapid Decline
5567505408,Access to AB,,Micro,Good Profitability,High Growth
5565100525,Accurate Nordic AB,,Micro,Good Profitability,High Growth
5569442501,Aceve Sverige AB,,Small,Low Profitability,High Growth
5560764564,Ackurat Industriplast Aktiebolag,,Micro,Low Profitability,Declining
5591520944,Acrivon AB,,Micro,Good Profitability,High Growth
5567911325,Acta Flytt och Logistik Syd AB,,Micro,Good Profitability,Medium Growth
5592641624,Active Dental Sweden AB,,Micro,High Profitability,Declining
5565396396,Acuvi AB,,Micro,High Profitability,Low Growth
5569305492,AdGrowth AB,,Micro,Good Profitability,Low Growth
5566314786,Adact Revisorer & Konsulter AB,,Micro,High Profitability,Low Growth
5568183841,Adam & Albin Rådmansgatan AB,,Micro,Low Profitability,Medium Growth
5565467627,Adana Food AB,,Micro,Low Profitability,Low Growth
5590630504,Add North 3D AB,,Micro,Low Profitability,High Growth
5563536100,Addcut AB,,Micro,Low Profitability,Low Growth
5565747770,Addhealth Media AB,,Micro,Good Profitability,Rapid Decline
5593290298,Addrevenue AB,,Micro,Good Profitability,High Growth
5591218317,Adept Sverige AB,,Micro,Good Profitability,Declining
5562150747,Aderans Sweden AB,,Micro,Low Profitability,Low Growth
5567802722,Adestia AB,,Micro,Low Profitability,Rapid Decline
5590237649,Adminsure AB,,Micro,Good Profitability,High Growth
5566282652,Admotion AB,,Small,Low Profitability,Low Growth
5591641534,Adns House of Service AB,,Micro,Good Profitability,Low Growth
5567995989,Adrecord AB,,Micro,Low Profitability,Low Growth
5566632971,Adsum Revision AB,,Micro,Good Profitability,Low Growth
5566818851,Advali AB,,Micro,Good Profitability,High Growth
5569188989,Advantage Aviation Services Sweden AB,,Micro,Low Profitability,High Growth
5566218607,Advantek Eurasia Holdco AB,,Micro,Good Profitability,High Growth
5569552705,Advect AB,,Micro,Good Profitability,Declining
5590351044,Adventure Production Scandinavia Aktiebolag,,Micro,Good Profitability,High Growth
5591097109,Advice Revision i Växjö AB,,Micro,Good Profitability,Low Growth
5592637804,Advise North AB,,Micro,High Profitability,High Growth
5593405334,Aerometal Solutions Sweden AB,,Micro,Low Profitability,Medium Growth
5565746061,Aerzen Scandinavia AB,,Small,Low Profitability,High Growth
5567479026,Affecta Psykiatri AB,,Micro,Good Profitability,Rapid Decline
5562552900,Affärsbyrån Effecta Aktiebolag,,Micro,Good Profitability,Declining
5591165039,Afghan Shop AB,,Micro,Low Profitability,Medium Growth
5566657432,Agama Technologies AB,,Micro,High Profitability,Rapid Decline
5590591516,Agera24 AB,,Micro,High Profitability,Rapid Decline
5590591516,Agera24 AB,,Micro,High Profitability,High Growth
5567305288,Agfa HealthCare Sweden AB,,Micro,Low Profitability,High Growth
5566906185,Agnico Eagle Sweden AB,,Micro,High Profitability,Declining
5564105889,Agri Center Sverige AB,,Micro,Low Profitability,Declining
5566634571,Agri Lab AB,,Micro,High Profitability,Medium Growth
5566951231,Agri TT AB,,Micro,Good Profitability,High Growth
5562766252,Agrico Nordic AB,,Micro,Low Profitability,Rapid Decline
5563490878,Agrizon Maskin AB,,Small,Low Profitability,High Growth
5590530878,Agro Maskiner Rental AB,,Micro,Low Profitability,High Growth
5594668146,Ahlbys Lantbruk AB,,Micro,Good Profitability,Rapid Decline
5568840721,Ahlma Fiskeri AB,,Micro,Good Profitability,High Growth
5560772245,Ahnell & Partner Revisionsbyrå AB,,Micro,High Profitability,Medium Growth
5561905240,Ahrenbäcks Ädelstenssliperi Aktiebolag,,Micro,High Profitability,Low Growth
5566322011,Ahrås & Aldefelt Revision AB,,Micro,High Profitability,Low Growth
5561867929,Aiab energy AB,,Micro,Low Profitability,Declining
5562662121,Air Traffic Trade i Stockholm AB,,Micro,Good Profitability,High Growth
5568238298,AirPro Filter AB,,Micro,Low Profitability,Medium Growth
5561784249,Airam AB,,Micro,Low Profitability,Declining
5563070829,Aircano AB,,Micro,Low Profitability,Rapid Decline
5565312583,Aircenter AB,,Micro,Low Profitability,High Growth
5561302851,Airtec Pneumatic Sweden Aktiebolag,,Micro,High Profitability,Low Growth
5567838064,Akademisk Marknadsanalys Stockholm AB,,Micro,High Profitability,Low Growth
5566029566,Akribi System AB,,Micro,High Profitability,Medium Growth
5563131688,Akriform Plast Aktiebolag,,Small,Low Profitability,High Growth
5561830372,Aktiebolag Bröderna Larssons Grustag,,Micro,Low Profitability,Declining
5562599182,Aktiebolaget Allson Kyl & Fryslager,,Micro,Good Profitability,High Growth
5560376518,Aktiebolaget Bandindustri,,Small,Good Profitability,Low Growth
5561830307,Aktiebolaget Bockara Betongvaror,,Micro,Good Profitability,Rapid Decline
5562414028,Aktiebolaget Bröderna Bourghardt,,Micro,Low Profitability,Medium Growth
5560930645,Aktiebolaget Bröderna Nilssons Snickerifabrik,,Micro,Good Profitability,Declining
5564432697,Aktiebolaget Butiken Hem och Hobby i Hjo,,Micro,Good Profitability,Low Growth
5560505959,Aktiebolaget Bösarps Grus & Torrbruk,,Micro,Good Profitability,Declining
5560355926,Aktiebolaget Cernelle.,,Small,Good Profitability,High Growth
5565146031,Aktiebolaget City Hiss Stockholm,,Micro,Low Profitability,Declining
5563426831,Aktiebolaget Dahlgrens Cementgjuteri,,Micro,Good Profitability,Medium Growth
5564792272,Aktiebolaget Dala Plåtteknik,,Micro,Good Profitability,Low Growth
5560638719,Aktiebolaget Elektriska Motorcentralen,,Micro,Low Profitability,Low Growth
5561220046,Aktiebolaget Fristads Expressbyrå,,Micro,Low Profitability,Declining
5560622689,Aktiebolaget Fritz Olsson,,Micro,Good Profitability,Low Growth
5561936260,Aktiebolaget Fyhr:s Tryckluft-Service,,Micro,Good Profitability,High Growth
5560867680,Aktiebolaget G. Fors Verkstäder,,Micro,Good Profitability,Low Growth
5560935479,Aktiebolaget G.F. Swedenborg Ingenjörsfirma,,Micro,Low Profitability,Medium Growth
5560869413,Aktiebolaget Germa,,Micro,Low Profitability,Low Growth
5560880600,Aktiebolaget Gislaveds Glasmästeri,,Micro,Good Profitability,Rapid Decline
5560639709,Aktiebolaget Gotenius Varv & Mekaniska Verkstad,,Micro,Low Profitability,High Growth
5561304261,Aktiebolaget Gust. Magnussons Eftr.,,Micro,High Profitability,Low Growth
